#,公開順,柱,記事タイプ,カテゴリ,メインKW,記事タイトル,ステータス,文字数,要追記箇所,写真指示,アフィリ数,内部リンク数,ファイル名,作成日,公開日,備考
1,W1,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 気候 天気,パラグアイの気候と天気を在住者が解説｜一年中温暖で自然災害ゼロの国【2026年版】,公開済,,,あり,0,3,article-paraguay-kikou.md,2026-03-04,2026-03-04,【Attention】夢を見せる記事｜災害ゼロ・花粉ゼロのインパクトで心を掴む
2,W1,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 食事 料理,パラグアイの食文化を在住者が解説｜アサード（南米BBQ）から家庭料理まで【2026年版】,公開済,,,あり,0,3,article-paraguay-shokubunka.md,2026-03-04,2026-03-06,【Attention】感情を動かす記事｜アサード・テレレの写真でSNSシェア狙い
3,W2,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 移住 費用,パラグアイ移住の費用はいくら？在住者が初期費用から月々の生活費まで全公開【2026年版】,リライト済,,,あり,3,2,article-paraguay-ijuu-hiyou.md,2026-03-03,,【Interest】夢の値段を提示｜「こんな素敵な場所に83万円で行ける！」
4,W2,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 生活費,【2026年最新】パラグアイの生活費を完全公開！1ヶ月の家計簿と物価を日本と徹底比較,リライト済,,,あり,2,3,article-paraguay-seikatsuhi.md,2026-03-03,,【Interest】安さの衝撃｜日本の1/3で暮らせる具体的データ
5,W3,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 治安,パラグアイの治安は本当に危険？【在住者が語る】2026年最新の治安事情と対策,リライト済,,,あり,1,4,article-paraguay-chian.md,2026-03-03,,【Interest】最大の不安を解消｜「南米＝危険」の誤解を壊す
6,W3,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 税金 安い,パラグアイの税金が安い理由を在住者が解説｜所得税・法人税・消費税を日本と比較【2026年版】,下書き,,,あり,1,3,article-paraguay-zeikin.md,2026-03-04,,【Interest】もう一つのメリット｜所得税10%の衝撃
7,W4,パラグアイ生活,実験記事,パラグアイ生活,パラグアイ 移住 収入,パラグアイ移住後のリアルな収入事情【在住者が公開】月いくら稼いで生活している？,リライト済,,,なし,2,4,article-paraguay-shuunyuu-jijou.md,2026-03-03,,【Desire】最大の不安「稼げるの？」を早期解消｜リアル数字で信頼獲得
8,W4,海外の働き方,キラー記事,海外移住の働き方,海外移住 働き方,海外移住後の働き方・収入源5選【2026年版】パラグアイ在住者が実践中の方法,リライト済,,,あり,7,3,article-kaigai-ijuu-hatarakikata.md,2026-03-03,,【Desire】「自分にもできそう」と思わせる｜7アフィリのハブ記事
9,W5,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 永住権,パラグアイの永住権の取り方を完全解説｜必要書類・費用・期間を在住者が徹底ガイド【2026年版】,リライト済,,,あり,2,2,article-paraguay-eijuuken.md,2026-03-03,,【Action】「行けるんだ」と確信させる｜ピラー記事
10,W5,パラグアイ生活,集客記事,パラグアイ生活,海外移住 準備リスト,海外移住前の準備リスト完全版【2026年】やることを時系列でまとめた,リライト済,,,なし,5,4,article-kaigai-ijuu-junbi-list.md,2026-03-03,,【Action】具体的な行動の一歩目｜チェックリストで背中を押す
11,W6,海外の働き方,収益記事,パラグアイ生活,パラグアイ リモートワーク 日本,パラグアイから日本の仕事をリモートでやる方法【在住者が解説】2026年版,リライト済,,,あり,3,3,article-paraguay-remote-work.md,2026-03-03,,「日本の仕事を続けられる」安心感を提供
12,W6,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ インターネット 通信,パラグアイのインターネット・通信事情を在住者が解説｜速度・料金・SIMカード【2026年版】,下書き,,,あり,2,4,article-paraguay-internet.md,2026-03-04,,リモートワーカーの「ネット大丈夫？」に回答
13,W7,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 銀行口座 開設,パラグアイで銀行口座を開設する方法【外国人向け完全ガイド2026年版】,リライト済,,,あり,1,3,article-paraguay-ginkou-kouzakaisetsu.md,2026-03-03,,お金の管理の具体策→送金記事への導線
14,W7,パラグアイ生活,キラー記事,パラグアイ生活,海外送金 比較,海外送金サービス徹底比較【2026年版】Wise vs PayPal vs 銀行送金どれが最安？,リライト済,,,なし,3,3,article-kaigai-soukin-hikaku.md,2026-03-03,,★キラー★ Wise 3000-5000円/件｜銀行口座→送金の自然な流れ
15,W8,パラグアイ生活,キラー記事,パラグアイ生活,海外 VPN おすすめ,海外生活で必須のVPN おすすめ3選【2026年最新比較】日本のサービスに接続するならコレ,リライト済,,,あり,3,2,article-kaigai-vpn-osusume.md,2026-03-03,,★キラー★ NordVPN 3000-5000円/件｜通信記事からの自然な導線
16,W8,パラグアイ生活,キラー記事,パラグアイ生活,海外在住 クレジットカード,海外在住者向けクレジットカード比較【2026年版】移住前に作るべきカード3選,リライト済,,,なし,3,3,article-kaigai-credit-card-hikaku.md,2026-03-03,,★キラー★ エポス+楽天 5000-10000円/件｜準備リストと連動
17,W9,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 教育 インターナショナルスクール,パラグアイの教育事情を在住者が解説｜インターナショナルスクールの学費・選び方【2026年版】,下書き,,,あり,1,3,article-paraguay-kyouiku.md,2026-03-04,,家族クラスター開始｜「子供は大丈夫？」に回答
18,W9,海外の働き方,収益記事,海外移住の働き方,子連れ 海外移住 準備,子連れ海外移住の準備と注意点【在住者が解説】家族4人でパラグアイに移住した体験談,下書き,,,あり,3,4,article-kaigai-kozure-ijuu.md,2026-03-04,,教育記事とセット｜SafetyWing+エポス+DMM英会話アフィリ
19,W10,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 医療 保険,パラグアイの医療・保険事情【在住者が解説】病院の選び方から保険加入まで,リライト済,,,あり,1,4,article-paraguay-iryou-hoken.md,2026-03-03,,家族の安心を担保｜保険アフィリ導線
