status,filename,category,subcategory,style,color_scheme,model,title,tags,prompt,file_size_mb
success,stock_0150_geometric_mid_century.jpg,geometric,mid century,watercolor,warm sunset,recraft-v3,MidCentury Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; watercolor; warm; sunset,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, watercolor painting style, soft brushstrokes, artistic texture, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",5.8
success,stock_0151_geometric_mid_century.jpg,geometric,mid century,watercolor,cool ocean,recraft-v3,MidCentury Watercolor Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; watercolor; cool; ocean,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, watercolor painting style, soft brushstrokes, artistic texture, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",5.9
success,stock_0152_geometric_mid_century.jpg,geometric,mid century,hand-drawn,pastel,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; pastel,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",5.7
success,stock_0153_geometric_mid_century.jpg,geometric,mid century,hand-drawn,navy gold,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; navy; gold,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",7.7
success,stock_0154_geometric_mid_century.jpg,geometric,mid century,hand-drawn,earth tones,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; earth; tones,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, earth tones, terracotta, sage green, brown, beige, white background, high quality, repeating pattern design",6.4
success,stock_0155_geometric_mid_century.jpg,geometric,mid century,hand-drawn,monochrome,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; monochrome,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, monochrome, black, white, gray, charcoal, white background, high quality, repeating pattern design",6.0
success,stock_0156_geometric_mid_century.jpg,geometric,mid century,hand-drawn,warm sunset,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; warm; sunset,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, warm sunset colors, coral, orange, peach, amber, white background, high quality, repeating pattern design",5.1
success,stock_0157_geometric_mid_century.jpg,geometric,mid century,hand-drawn,cool ocean,recraft-v3,MidCentury Hand-Drawn Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; mid; century; geometric; hand-drawn; cool; ocean,"Seamless tileable pattern of Mid-century modern geometric pattern with atomic age shapes, boomerangs, and starbursts, hand-drawn sketch style, ink line art, organic freehand illustration, cool ocean tones, teal, aqua, navy, seafoam, white background, high quality, repeating pattern design",5.9
success,stock_0158_botanical_monstera_leaves.jpg,botanical,monstera leaves,flat vector,pastel,recraft-v3,MonsteraLeaves FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; monstera; leaves; botanical; flat; vector; pastel,"Seamless tileable pattern of Tropical monstera deliciosa leaves pattern with large split leaves, flat vector style, clean lines, modern design, vector illustration, pastel pink, mint green, soft yellow, lavender, white background, high quality, repeating pattern design",5.5
success,stock_0159_botanical_monstera_leaves.jpg,botanical,monstera leaves,flat vector,navy gold,recraft-v3,MonsteraLeaves FlatVector Seamless Pattern,seamless; pattern; tileable; repeating; background; textile; wallpaper; fabric; surface design; digital paper; monstera; leaves; botanical; flat; vector; navy; gold,"Seamless tileable pattern of Tropical monstera deliciosa leaves pattern with large split leaves, flat vector style, clean lines, modern design, vector illustration, navy blue, gold, white, dark blue, white background, high quality, repeating pattern design",6.1
