#,公開順,柱,記事タイプ,カテゴリ,メインKW,記事タイトル,ステータス,文字数,要追記箇所,写真指示,アフィリ数,内部リンク数,ファイル名,パーマリンク,累計PV,作成日,公開日,備考
1,W1,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 気候 天気,パラグアイの気候と天気を在住者が解説｜一年中温暖で自然災害ゼロの国【2026年版】,公開済,,,あり,0,3,article-paraguay-kikou.md,paraguay-climate-weather,7,2026-03-04,2026-03-05,【Attention】夢を見せる記事｜災害ゼロ・花粉ゼロのインパクトで心を掴む｜WP ID:1008｜2026-03-10 品質レビュー: strong tag修正5箇所
2,W1,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 食事 料理,パラグアイの食文化を在住者が解説｜アサード（南米BBQ）から家庭料理まで【2026年版】,公開済,,,あり,0,3,article-paraguay-shokubunka.md,paraguay-food-culture,237,2026-03-04,2026-03-07,【Attention】感情を動かす記事｜アサード・テレレの写真でSNSシェア狙い｜WP ID:1214｜2026-03-10 品質レビュー: strong tag修正・地名表現修正・主語追加
3,W2,パラグアイ生活,集客記事,移住準備・お金,パラグアイ 移住 費用,パラグアイ移住の費用はいくら？在住者が初期費用から月々の生活費まで全公開【2026年版】,公開済,,,あり,3,2,article-paraguay-ijuu-hiyou.md,paraguay-immigration-cost,27,2026-03-03,2026-03-08,【Interest】夢の値段を提示｜WP ID:1065 正式記事公開済｜2026-03-10 品質レビュー: strong tag8箇所修正・HTML構造修正・地名表現修正・重複画像削除
4,W2,パラグアイ生活,集客記事,移住準備・お金,パラグアイ 生活費,【2026年最新】パラグアイの生活費を完全公開！1ヶ月の家計簿と物価を日本と徹底比較,公開済,,,あり,2,3,article-paraguay-seikatsuhi.md,paraguay-living-cost,33,2026-03-03,2026-03-08,【Interest】安さの衝撃｜WP ID:1066 正式記事公開済｜2026-03-10 品質レビュー: strong tag修正・地名表現修正
5,W3,パラグアイ生活,集客記事,パラグアイ生活,パラグアイ 治安,パラグアイの治安は本当に危険？【在住者が語る】2026年最新の治安事情と対策,公開済,,,あり,1,4,article-paraguay-chian.md,paraguay-safety-security,11,2026-03-03,2026-03-08,【Interest】最大の不安を解消｜WP ID:1067 正式記事公開済｜2026-03-10 品質レビュー: strong tag修正・重複画像削除・プレースホルダーURL置換・地名表現修正
6,W3,パラグアイ生活,集客記事,移住準備・お金,パラグアイ 移住 失敗 注意点,パラグアイ移住で失敗しないための注意点7つ【在住者が本音で語る】,公開済,,,あり,0,3,article-paraguay-ijuu-shippai.md,paraguay-immigration-mistakes,,2026-03-08,,WP ID:3879｜2026-03-29公開
7,W4,パラグアイ生活,集客記事,移住準備・お金,パラグアイ 税金 安い,パラグアイの税金が安い理由を在住者が解説｜所得税・法人税・消費税を日本と比較【2026年版】,公開済,,,あり,2,3,article-paraguay-zeikin.html,paraguay-low-taxes,,2026-03-04,2026-03-18,WP ID:2096｜Wise・NordVPNアフィリ
8,W4,パラグアイ生活,実験記事,海外で稼ぐ,パラグアイ 移住 収入,パラグアイ移住後のリアルな収入事情【在住者が公開】月いくら稼いで生活している？,公開済,,,なし,2,4,article-paraguay-shuunyuu-jijou.md,paraguay-expat-income,,2026-03-03,,【Desire】最大の不安「稼げるの？」を早期解消｜リアル数字で信頼獲得
9,W5,パラグアイ生活,集客記事,移住準備・お金,パラグアイ 永住権,パラグアイの永住権の取り方を完全解説｜必要書類・費用・期間を在住者が徹底ガイド【2026年版】,公開済,,,あり,2,2,article-paraguay-eijuuken.md,paraguay-permanent-residency,1,2026-03-03,,【Action】「行けるんだ」と確信させる｜ピラー記事
10,W5,パラグアイ生活,集客記事,移住準備・お金,パラグアイ ビザ 種類 取得,パラグアイのビザの種類と取得方法を在住者が徹底解説【2026年版】,公開済,,,あり,2,3,article-paraguay-visa.html,paraguay-visa-types,5,2026-03-08,2026-03-18,WP ID:2097｜Wise・ネイティブキャンプアフィリ
