filename,title,description,keywords,category,subcategory,style,colors,ai_generated,releases,adobe_category,shutterstock_category
stock_0000_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Pastel Variant,"Seamless tileable art deco pattern in flat vector illustration style with pastel, pink, mint, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, pastel, pastel colors",geometric,art deco,flat vector,"pastel, pink, mint, gold, green",Yes,Not Required,Abstract,Geometric
stock_0001_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in flat vector illustration style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",geometric,art deco,flat vector,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0002_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Earth Variant,"Seamless tileable art deco pattern in flat vector illustration style with earth, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, earth tones, terracotta",geometric,art deco,flat vector,"earth, gold, green",Yes,Not Required,Abstract,Geometric
stock_0003_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Gold Variant,"Seamless tileable art deco pattern in flat vector illustration style with gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, golden, metallic",geometric,art deco,flat vector,gold,Yes,Not Required,Abstract,Geometric
stock_0004_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Coral Variant,"Seamless tileable art deco pattern in flat vector illustration style with coral, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, coral, warm",geometric,art deco,flat vector,"coral, gold",Yes,Not Required,Abstract,Geometric
stock_0005_pattern_floral.png,ArtDeco FlatVector Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in flat vector illustration style with navy, gold, cool ocean color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, flat design, vector, vector art, vector illustration, flat style, modern design, graphic design, clean lines, minimalist, digital art, clipart, simple, navy, navy blue",geometric,art deco,flat vector,"navy, gold, cool ocean",Yes,Not Required,Abstract,Geometric
stock_0006_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Pastel Variant,"Seamless tileable art deco pattern in watercolor painting style with pastel, pink, mint, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, pastel, pastel colors, soft colors, light, pale",geometric,art deco,watercolor,"pastel, pink, mint, gold, green",Yes,Not Required,Abstract,Geometric
stock_0007_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Navy Variant,"Seamless tileable art deco pattern in watercolor painting style with navy, blue, gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, navy, navy blue, dark blue, premium, blue",geometric,art deco,watercolor,"navy, blue, gold",Yes,Not Required,Abstract,Geometric
stock_0008_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Earth Variant,"Seamless tileable art deco pattern in watercolor painting style with earth, gold, green color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, earth tones, terracotta, sage, natural colors, muted",geometric,art deco,watercolor,"earth, gold, green",Yes,Not Required,Abstract,Geometric
stock_0009_pattern_floral.png,ArtDeco Watercolor Seamless Pattern - Gold Variant,"Seamless tileable art deco pattern in watercolor painting style with gold color scheme. Perfect for textile design, wallpaper, wrapping paper, fabric printing, scrapbooking, and digital backgrounds. High quality repeating design.","seamless pattern, seamless, pattern, tileable, repeating, background, textile, fabric, wallpaper, wrapping paper, surface design, print, decor, decorative, ornament, digital paper, scrapbooking, geometric, geometry, shape, abstract, modern, minimal, lines, triangle, circle, polygon, grid, lattice, art deco, deco, 1920s, gatsby, gold, luxury, watercolor, watercolour, hand painted, artistic, soft, gentle, aquarelle, painting, brushstroke, golden, metallic",geometric,art deco,watercolor,gold,Yes,Not Required,Abstract,Geometric
